Track,similarity
Where Are You Now,0.9228684334756692
Where Are You Now,0.9227846474297539
The Business,0.9207136070833858
I Like Me Better,0.9119259659881204
In My Mind,0.8974039823157194
No Role Modelz,0.8942294680428688
Eastside (with Halsey & Khalid),0.8895175042614047
Love Yourself,0.8824358743599465
Issues,0.8785260339773745
Hope,0.8720849091444468
