Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Comments,Stream,Track,Artist,Album,similarity
-0.109818361209318,0.1585970407267808,-0.9197708435572713,0.808514867149052,-0.667541789918303,-0.9933955218399492,-0.2877826479953091,-0.480118498521052,-0.3357995521883363,-0.4263398223438563,0.1424617082392561,-0.3361705488385648,-0.35750517879447524,-0.13710595990611946,3.1790884075064567,Set Fire to the Rain,Adele,21,0.9339085154862974
0.2405750497412948,0.4069174600339206,-0.08174769379525167,0.1384530683880477,-0.365429275168649,-0.3809796411372536,-0.28772755452297627,-0.31064046118096417,-0.8664342577588482,-0.23081830305074297,-0.47680344066987634,-0.25624085008499226,-0.18145270758133442,-0.10954680333852572,1.7405610417970108,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Macklemore,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),0.9283110523960194
0.2405750497412948,0.4069174600339206,-0.08174769379525167,0.1384530683880477,-0.365429275168649,-0.3809796411372536,-0.28772755452297627,-0.31064046118096417,-0.8664342577588482,-0.23081830305074297,-0.47680344066987634,-0.22445407206266232,-0.15361259513813366,-0.10937490619611182,1.7405610417970108,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Fall Out Boy,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),0.9281874086613833
0.2405750497412948,0.4069174600339206,-0.08174769379525167,0.1384530683880477,-0.365429275168649,-0.3809796411372536,-0.28772755452297627,-0.31064046118096417,-0.8664342577588482,-0.23081830305074297,-0.47680344066987634,-0.22445406134808427,-0.1536120458393068,-0.10937490619611182,1.7405610417970108,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),0.9281874017668957
-0.3937578493934346,-0.45986136207590783,0.7562754559667679,0.47803189852937106,-0.5407879588088267,-0.7664529344448614,-0.28779136334686456,0.028315613499211342,-0.9684793934454852,0.7889354186626195,-0.011061982569514284,-0.3398190841038016,-0.36202645743859624,-0.1410747615765581,5.230444259636058,I Fall Apart,Post Malone,Stoney (Deluxe),0.9274634943471081
0.5788859292798169,-0.84874050929275,-0.08174769379525167,-0.14893284206956486,-0.6418098091667551,-0.7114853531103524,-0.28779136334686456,-0.4922240726167726,-0.5684624615538684,0.24350304556802044,-0.18795018473742245,0.44214626267779744,0.3049893052476783,-0.009790846957092621,3.0319393700217776,Budapest,George Ezra,Wanted on Voyage (Expanded Edition),0.9198838909993273
1.0319808572331954,-0.052241051137772325,-1.1991118934779446,0.4345017041043673,-0.39402036489259096,-0.9805114008647267,-0.278453486680283,0.8333362908646283,-0.6460167646757126,-0.5624106324863062,-0.39715916391770334,0.2574734917046537,0.5384704195132074,-0.07387309048933449,9.624231437986108,One Dance,Drake,Views,0.9143942010044955
0.4399368180407807,0.6271261337591205,0.19759335612542156,0.4938413721265118,0.515176288328765,-0.3914830006279241,-0.28773429854501326,-0.4438017762338904,-1.490950488161066,0.17905023013293558,-0.31445645933110683,-0.27194134276151694,-0.1880300117344999,-0.09735727362205746,4.418758365868843,In My Mind,Gigi D'Agostino,In My Mind,0.9101052223538433
0.7963714946974385,0.09768825863257656,0.47693440604609477,0.9863173030840179,-0.4769345250920228,-0.40898859977904156,-0.28779136334686456,-0.480118498521052,-0.3725358010355256,-0.4595632715167393,-0.31311106396660343,0.09682763345306926,0.1937200390801388,-0.0034761548725348213,4.719615502979481,The Middle,Zedd,The Middle,0.9043418050070013
0.7963714946974385,0.09768825863257656,0.47693440604609477,0.9863173030840179,-0.4769345250920228,-0.40898859977904156,-0.28779136334686456,-0.480118498521052,-0.3725358010355256,-0.4595632715167393,-0.31311106396660343,0.09682870491087561,0.19372223627544635,-0.0034761548725348213,4.719615502979481,The Middle,Grey,The Middle,0.9043417264535013
